192.168.65.1 - - [09/Apr/2025:21:01:59 +0000] "GET / HTTP/1.1" 200 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15" "-"
172.18.0.6 - - [09/Apr/2025:21:12:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:12:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:13:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:13:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:13:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:13:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:14:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:14:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:14:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:14:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:15:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:15:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:15:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:15:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:16:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:16:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:16:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:16:46 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:17:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:17:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:17:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:17:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:18:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:18:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:18:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:18:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:19:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:19:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:19:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:19:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:20:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:20:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:20:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:20:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:21:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:21:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:21:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:21:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:22:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:22:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:22:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:22:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:23:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:23:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:23:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:23:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:24:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:24:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:24:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:24:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:25:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:25:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:25:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:25:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:26:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:26:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:26:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:26:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:27:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:27:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:27:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:27:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:28:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:28:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:28:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:28:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:29:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:29:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:29:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:29:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
